City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,wloszczowa,PL,35.65,clear sky,50.85,19.97,Hotel Mariage
1,hambantota,LK,75.54,few clouds,6.12,81.12,Bungalow 63
4,mount gambier,AU,66.11,overcast clouds,-37.83,140.77,The Commodore
5,guerrero negro,MX,60.15,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
7,ucluelet,CA,45.09,light rain,48.93,-125.55,Black Rock Oceanfront Resort
9,banda aceh,ID,80.64,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
12,sirjan,IR,56.34,clear sky,29.45,55.68,هتل عطرسیب سیرجان
13,tottori,JP,48.15,overcast clouds,35.5,134.23,Hotel Monarque Tottori
14,cidreira,BR,66.45,broken clouds,-30.18,-50.21,Hotel Castelo
15,santa rosa,PH,87.12,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
16,ojinaga,MX,86.95,clear sky,29.57,-104.42,Suites Las Palmas
18,pullman,US,45.84,few clouds,46.73,-117.18,"Holiday Inn Express & Suites Pullman, an IHG Hotel"
19,karabash,RU,25.92,overcast clouds,55.48,60.22,Uyut
20,thunder bay,CA,30.34,few clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
21,vilcun,CL,54.34,overcast clouds,-38.65,-72.23,"Rayen-Co, Rural Tourism"
23,bridlington,GB,40.01,broken clouds,54.08,-0.19,Expanse Bridlington Seafront Hotel
24,east london,ZA,70.81,scattered clouds,-33.02,27.91,Tu Casa
25,san andres del rabanedo,ES,49.77,overcast clouds,42.61,-5.62,Parador de León
26,mazagao,BR,78.85,overcast clouds,-0.12,-51.29,Casa Lima Santos
27,narsaq,GL,10.62,clear sky,60.92,-46.05,Sleep In Narsaq
28,saint anthony,US,55.0,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
29,daru,PG,87.13,overcast clouds,-9.08,143.21,Daru Lodge
31,kaitangata,NZ,64.0,broken clouds,-46.28,169.85,Kaitangata Motor Camp
33,storslett,NO,38.19,overcast clouds,69.77,21.02,Reisafjord Hotel AS
34,arklow,IE,46.08,overcast clouds,52.79,-6.14,"Arklow Bay Conference, Leisure & Spa Hotel"
35,mahibadhoo,MV,83.41,overcast clouds,3.78,72.97,Omadhoo Inn
36,jonesboro,US,60.8,clear sky,35.84,-90.7,Hilton Garden Inn Jonesboro
37,portree,GB,42.53,few clouds,57.41,-6.19,The Royal Hotel
38,oss,NL,42.1,mist,51.75,5.53,Hotel de Weverij
39,hami,CN,39.81,overcast clouds,42.8,93.45,Laoyutang Resort
40,panjakent,TJ,43.21,overcast clouds,39.5,67.61,Salom Hostel
41,roma,US,39.96,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
42,san cristobal,VE,73.58,overcast clouds,7.77,-72.22,Pirineos
43,fortuna,US,53.85,few clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
44,batemans bay,AU,69.1,broken clouds,-35.72,150.18,Batemans Bay Marina Resort
45,khani,GE,29.77,overcast clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
47,dunedin,NZ,62.92,broken clouds,-45.87,170.5,Scenic Hotel Southern Cross
48,rudsar,IR,41.09,overcast clouds,37.14,50.29,Hotel Bahar
50,ukiah,US,66.43,clear sky,39.15,-123.21,Hampton Inn Ukiah
53,rorvik,NO,42.64,clear sky,64.86,11.24,Kysthotellet Rørvik AS
55,lisakovsk,KZ,18.57,light snow,52.54,62.49,"Gostinitsa ""Kontinent"""
56,sur,OM,73.44,clear sky,22.57,59.53,Sur Plaza Hotel
57,kashan,IR,58.42,broken clouds,33.98,51.44,Manouchehri Traditional House
