City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,wloszczowa,PL,50.85,19.97,35.65,57,0,6.22,clear sky
1,hambantota,LK,6.12,81.12,75.54,100,20,1.14,few clouds
2,kirovsk,UA,48.64,38.64,25.97,95,35,4.65,scattered clouds
3,boshnyakovo,RU,49.63,142.17,20.28,78,100,6.22,overcast clouds
4,mount gambier,AU,-37.83,140.77,66.11,77,100,6.91,overcast clouds
5,guerrero negro,MX,27.98,-114.06,60.15,68,0,24.96,clear sky
6,talnakh,RU,69.49,88.4,4.21,98,96,2.86,overcast clouds
7,ucluelet,CA,48.93,-125.55,45.09,92,100,1.01,light rain
8,yaan,NG,7.38,8.57,82.56,64,6,10.25,clear sky
9,banda aceh,ID,5.56,95.32,80.64,75,100,13.56,overcast clouds
10,toora-khem,RU,52.47,96.11,-1.26,97,78,2.19,broken clouds
11,shitanjing,CN,39.23,106.34,36.01,31,100,5.3,overcast clouds
12,sirjan,IR,29.45,55.68,56.34,24,6,8.46,clear sky
13,tottori,JP,35.5,134.23,48.15,66,100,3.53,overcast clouds
14,cidreira,BR,-30.18,-50.21,66.45,58,58,9.66,broken clouds
15,santa rosa,PH,14.31,121.11,87.12,73,100,12.19,overcast clouds
16,ojinaga,MX,29.57,-104.42,86.95,15,0,9.22,clear sky
17,tubuala,PA,9.52,-79.03,78.96,84,100,15.41,overcast clouds
18,pullman,US,46.73,-117.18,45.84,52,20,10.36,few clouds
19,karabash,RU,55.48,60.22,25.92,90,97,11.52,overcast clouds
20,thunder bay,CA,48.4,-89.32,30.34,95,11,3.36,few clouds
21,vilcun,CL,-38.65,-72.23,54.34,96,100,2.84,overcast clouds
22,okhotsk,RU,59.38,143.3,20.46,75,100,20.15,overcast clouds
23,bridlington,GB,54.08,-0.19,40.01,87,58,1.99,broken clouds
24,east london,ZA,-33.02,27.91,70.81,89,41,7.72,scattered clouds
25,san andres del rabanedo,ES,42.61,-5.62,49.77,81,100,9.22,overcast clouds
26,mazagao,BR,-0.12,-51.29,78.85,96,100,3.83,overcast clouds
27,narsaq,GL,60.92,-46.05,10.62,77,1,7.49,clear sky
